Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
TAEYEON 태연 '불티 (Spark)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=eP4ga_fNm-E,https://i.ytimg.com/vi/eP4ga_fNm-E/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '불티 (Spark)' MV.mp3
Girls' Generation 소녀시대 'Holiday' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=YwN-CN9EjTg,https://i.ytimg.com/vi/YwN-CN9EjTg/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Holiday' MV.mp3
TAEYEON 태연 '사계 (Four Seasons)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4HG_CJzyX6A,https://i.ytimg.com/vi/4HG_CJzyX6A/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '사계 (Four Seasons)' MV.mp3
Girls' Generation 少女時代 'PAPARAZZI' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=IUqP1xzRZkw,https://i.ytimg.com/vi/IUqP1xzRZkw/sddefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'PAPARAZZI' MV.mp3
TAEYEON 태연 'Rain' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=eHir_vB1RUI,https://i.ytimg.com/vi/eHir_vB1RUI/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Rain' MV.mp3
Girls' Generation 少女時代 'GALAXY SUPERNOVA' MV Dance ver.,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Z6FPJOgfCkc,https://i.ytimg.com/vi/Z6FPJOgfCkc/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'GALAXY SUPERNOVA' MV Dance ver..mp3
Girls' Generation 소녀시대 'You Think' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hJYGddE0vHc,https://i.ytimg.com/vi/hJYGddE0vHc/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'You Think' MV.mp3
Girls' Generation 소녀시대 'Dancing Queen' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=EXZxc8GSXnI,https://i.ytimg.com/vi/EXZxc8GSXnI/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Dancing Queen' MV.mp3
TAEYEON 태연 'Can't Control Myself' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RccDIpx4ZMM,https://i.ytimg.com/vi/RccDIpx4ZMM/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Can't Control Myself' MV.mp3
Girls' Generation 少女時代 'My Oh My' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RQy54gw-pls,https://i.ytimg.com/vi/RQy54gw-pls/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'My Oh My' MV.mp3
Girls' Generation 少女時代 'FLOWER POWER' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=jG1cIlM1juw,https://i.ytimg.com/vi/jG1cIlM1juw/sddefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'FLOWER POWER' MV.mp3
Girls' Generation 소녀시대 '훗 (Hoot)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=F4-SxcCO5d0,https://i.ytimg.com/vi/F4-SxcCO5d0/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '훗 (Hoot)' MV.mp3
