Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Teach Me How To Love,Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=sRFlSv4BNUs,https://i.ytimg.com/vi/sRFlSv4BNUs/maxresdefault.jpg,Shawn Mendes/Wonder/Teach Me How To Love.mp3
Youth,Shawn Mendes,"Shawn Mendes, Khalid",Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=sUX82hI3bb4,https://i.ytimg.com/vi/sUX82hI3bb4/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Youth.mp3
Life Of The Party,Shawn Mendes,Shawn Mendes,Handwritten (Revisited),usuk-pop,https://music.youtube.com/watch?v=w0SbZSOamG4,https://i.ytimg.com/vi/w0SbZSOamG4/maxresdefault.jpg,Shawn Mendes/Handwritten (Revisited)/Life Of The Party.mp3
Mercy (Acoustic Guitar),Shawn Mendes,Shawn Mendes,Mercy,usuk-pop,https://music.youtube.com/watch?v=sEEx1LDq84s,https://i.ytimg.com/vi/sEEx1LDq84s/maxresdefault.jpg,Shawn Mendes/Mercy/Mercy (Acoustic Guitar).mp3
Because I Had You,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=CV2kjhObtOg,https://i.ytimg.com/vi/CV2kjhObtOg/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Because I Had You.mp3
Lost In Japan (Remix),Shawn Mendes,"Shawn Mendes, Zedd",Lost In Japan,usuk-pop,https://music.youtube.com/watch?v=LHdw3ptW4fk,https://i.ytimg.com/vi/LHdw3ptW4fk/maxresdefault.jpg,Shawn Mendes/Lost In Japan/Lost In Japan (Remix).mp3
Bad Reputation,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=GDPJG0zBvmE,https://i.ytimg.com/vi/GDPJG0zBvmE/maxresdefault.jpg,Shawn Mendes/Illuminate/Bad Reputation.mp3
Why,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=s_vSGwtNDoc,https://i.ytimg.com/vi/s_vSGwtNDoc/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Why.mp3
Mutual,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=gYC1z2fkqAs,https://i.ytimg.com/vi/gYC1z2fkqAs/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Mutual.mp3
Believe,Shawn Mendes,Shawn Mendes,Descendants,usuk-pop,https://music.youtube.com/watch?v=3yINLeyyXcc,https://i.ytimg.com/vi/3yINLeyyXcc/maxresdefault.jpg,Shawn Mendes/Descendants/Believe.mp3
Perfectly Wrong,Shawn Mendes,Shawn Mendes,Shawn Mendes,usuk-pop,https://music.youtube.com/watch?v=Fp47PrA4D_U,https://i.ytimg.com/vi/Fp47PrA4D_U/maxresdefault.jpg,Shawn Mendes/Shawn Mendes/Perfectly Wrong.mp3
"Heartbeat (From “Lyle, Lyle, Crocodile” Soundtrack)",Shawn Mendes,Shawn Mendes,Heartbeat,usuk-pop,https://music.youtube.com/watch?v=fk9pvs5dOo0,https://i.ytimg.com/vi/fk9pvs5dOo0/maxresdefault.jpg,"Shawn Mendes/Heartbeat/Heartbeat (From “Lyle, Lyle, Crocodile” Soundtrack).mp3"
Treat You Better (Ashworth Remix),Shawn Mendes,Shawn Mendes,Treat You Better,usuk-pop,https://music.youtube.com/watch?v=GF8GoqmMqFI,https://i.ytimg.com/vi/GF8GoqmMqFI/maxresdefault.jpg,Shawn Mendes/Treat You Better/Treat You Better (Ashworth Remix).mp3
Roses,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=zG-2cRQ1MPk,https://i.ytimg.com/vi/zG-2cRQ1MPk/maxresdefault.jpg,Shawn Mendes/Illuminate/Roses.mp3
Who I Am,Shawn Mendes,Shawn Mendes,Shawn,usuk-pop,https://music.youtube.com/watch?v=I06f1FF4ONI,https://i.ytimg.com/vi/I06f1FF4ONI/maxresdefault.jpg,Shawn Mendes/Shawn/Who I Am.mp3
That’s The Dream,Shawn Mendes,Shawn Mendes,Shawn,usuk-pop,https://music.youtube.com/watch?v=s0yJa3aNh-A,https://i.ytimg.com/vi/s0yJa3aNh-A/maxresdefault.jpg,Shawn Mendes/Shawn/That’s The Dream.mp3
The Weight,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=NypOlDeyy_o,https://i.ytimg.com/vi/NypOlDeyy_o/maxresdefault.jpg,Shawn Mendes/Handwritten/The Weight.mp3
Like This,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=ncut3ZKTWVs,https://i.ytimg.com/vi/ncut3ZKTWVs/maxresdefault.jpg,Shawn Mendes/Illuminate/Like This.mp3
No Promises,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=Em7vKe2sYzA,https://i.ytimg.com/vi/Em7vKe2sYzA/maxresdefault.jpg,Shawn Mendes/Illuminate/No Promises.mp3
Ruin,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=EVJoD4MPh4M,https://i.ytimg.com/vi/EVJoD4MPh4M/maxresdefault.jpg,Shawn Mendes/Illuminate/Ruin.mp3
Lost In Japan,Shawn Mendes,Shawn Mendes,Temazos Olvidados,usuk-pop,https://music.youtube.com/watch?v=Wpcep0wsRa8,https://i.ytimg.com/vi/Wpcep0wsRa8/maxresdefault.jpg,Shawn Mendes/Temazos Olvidados/Lost In Japan.mp3
HOME,Shawn Mendes,"Eddie Benjamin, Shawn Mendes",HOME,usuk-pop,https://music.youtube.com/watch?v=paSxpHvButY,https://i.ytimg.com/vi/paSxpHvButY/maxresdefault.jpg,Shawn Mendes/HOME/HOME.mp3
Aftertaste,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=jv04jEwAujc,https://i.ytimg.com/vi/jv04jEwAujc/maxresdefault.jpg,Shawn Mendes/Handwritten/Aftertaste.mp3
Wonder (Acoustic),Shawn Mendes,Shawn Mendes,Wonder,usuk-pop,https://music.youtube.com/watch?v=bmYtVuvPIqg,https://i.ytimg.com/vi/bmYtVuvPIqg/maxresdefault.jpg,Shawn Mendes/Wonder/Wonder (Acoustic).mp3
Nobody Knows,Shawn Mendes,Shawn Mendes,Nobody Knows,usuk-pop,https://music.youtube.com/watch?v=bcPPnT9dUcs,https://i.ytimg.com/vi/bcPPnT9dUcs/maxresdefault.jpg,Shawn Mendes/Nobody Knows/Nobody Knows.mp3
Carried Away (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack),Shawn Mendes,Shawn Mendes,"Lyle, Lyle, Crocodile",usuk-pop,https://music.youtube.com/watch?v=JiVF6pyTNpY,https://i.ytimg.com/vi/JiVF6pyTNpY/maxresdefault.jpg,"Shawn Mendes/Lyle, Lyle, Crocodile/Carried Away (From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack).mp3"
Don't Be A Fool,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=dCM5cV5nV0E,https://i.ytimg.com/vi/dCM5cV5nV0E/maxresdefault.jpg,Shawn Mendes/Illuminate/Don't Be A Fool.mp3
